title,year,rated,released,runtime,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metaCriticRating,metascore,rating,type,boxoffice,production
The Woman in the Fifth,2011,R,Wed Nov 16 2011 00:00:00 GMT-0500 (EST),84 min,Drama; Mystery; Thriller,Pawel Pawlikowski,Ethan Hawke; Kristin Scott Thomas; Joanna Kulig; Samir Guesmi,American writer Tom Ricks comes to Paris desperate to put his life together again and win back the love of his estranged wife and daughter When things dont go according to plan he ends up in a shady hotel in the suburbs having to work as a night guard to make ends meet Then Margit a beautiful mysterious stranger walks into his life and things start looking up Their passionate and intense relationship triggers a string of inexplicable events as if an obscure power was taking control of his life,English; French; Polish,France; Poland; UK,2 nominations,5.3/10,63%,57/100,57,5.3,movie,"$112,498",ATO Pictures
Wanderlust,2012,R,Fri Feb 24 2012 00:00:00 GMT-0500 (EST),98 min,Comedy; Romance,David Wain,Paul Rudd; Jennifer Aniston; Justin Theroux; Alan Alda,In New York the aspirant filmmaker Linda convinces her husband George Gergenblatt to buy an expensive Micro Loft apartment in Manhattan Linda expects to sell a documentary about penguins to HBO to help the payment of the installments and George expects a promotion However HBO rejects the documentary and Georges company has folded and he is fired With the American financial crisis they lose a large amount selling the apartment and George does not find a new job Georges brother Rick offers a job position in his company in Atlanta They drive from New York to Atlanta and they decide to stop for the night in the hotel Elysium However they see a naked man running toward their car and George tries to return to the highway but accidentally he turns his car over Soon they learn the Elysium is a hippie and vegan community and the dwellers invite George and Linda to stay with them However they decide to go to Atlanta but soon George has an argument with his arrogant brother George returns to Elysium with Linda and they decide to stay for a two-week trial A couple of days later Linda feels well with her new friends but George has difficulties to adapt himself to the rules of Elysium,English,USA,N/A,5.6/10,59%,53/100,53,5.6,movie,"$17,255,675",Universal Pictures
Wreck-It Ralph,2012,PG,Fri Nov 02 2012 00:00:00 GMT-0400 (EDT),101 min,Animation; Adventure; Comedy,Rich Moore,John C. Reilly; Sarah Silverman; Jack McBrayer; Jane Lynch,Wreck-It Ralph longs to be as beloved as his games perfect Good Guy Fix-It Felix Problem is nobody loves a Bad Guy But they do love heroes so when a modern first-person shooter game arrives featuring tough-as-nails Sergeant Calhoun Ralph sees it as his ticket to heroism and happiness He sneaks into the game with a simple plan -- win a medal -- but soon wrecks everything and accidentally unleashes a deadly enemy that threatens every game in the arcade Ralphs only hope? Vanellope von Schweetz a young troublemaking glitch from a candy-coated cart racing game who might just be the one to teach Ralph what it means to be a Good Guy But will he realize he is good enough to become a hero before its Game Over for the entire arcade?,English,USA,Nominated for 1 Oscar Another 33 wins & 41 nominations,7.7/10,87%,72/100,72,7.7,movie,"$189,412,677",Walt Disney Pictures
Union Square,2011,NOT RATED,Fri Jul 13 2012 00:00:00 GMT-0400 (EDT),80 min,Drama,Nancy Savoca,Mira Sorvino; Michael Sirow; Tammy Blanchard; Murray,A reluctant reunion of two estranged sisters One is on the verge of marriage the other is on the verge of a nervous breakdown Both struggle with truths theyre hiding from each other - and from themselves Jenny has rejected her tumultuous family and cut off communication seeking a more ordered life far from her roots in the Bronx And shes almost ready to commit to her longtime fiancé when her sister Lucy - the personification of all that Jenny has been trying to flee - surprises her at a critical time Lucy and Jennys combustible reunion brings both of them to unforeseen places shattering and reconstructing the worlds they have both carefully constructed,English,USA,N/A,5.1/10,63%,55/100,55,5.1,movie,"$44,830",Dada Films
Unforgivable,2011,NOT RATED,Wed Aug 17 2011 00:00:00 GMT-0400 (EDT),111 min,Drama,André Téchiné,André Dussollier; Carole Bouquet; Mélanie Thierry; Adriana Asti,A crime writer living in Venice while working on his new novel meets and soon marries his real-estate agent Relocated to a remote house on SantErasmo Island his obsession with his wifes daily whereabouts takes a dark turn,French; Italian,France; Italy,1 nomination,5.8/10,77%,66/100,66,5.8,movie,"$153,785",Strand Releasing
Your Sister's Sister,2011,R,Fri Jun 29 2012 00:00:00 GMT-0400 (EDT),90 min,Comedy; Drama,Lynn Shelton,Michael Harring; Mark Duplass; Mike Birbiglia; Emily Blunt,Mourning the death of his brother Jacks friend Iris invites him to her fathers cottage for some alone time to recuperate Unbeknownst to either of them Iriss sister Hannah is also staying at their fathers cottage recovering from her recent break-up One entire bottle of tequila later Jack and Hannah wake up to find Iris at the door They each have secrets that theyre tying to keep and they each have feelings that theyre trying to sort out,English,USA,2 wins & 8 nominations,6.7/10,83%,72/100,72,6.7,movie,"$1,041,358",IFC Films
Underworld Awakening,2012,R,Fri Jan 20 2012 00:00:00 GMT-0500 (EST),88 min,Action; Fantasy; Horror,Måns Mårlind; Björn Stein,Kate Beckinsale; Stephen Rea; Michael Ealy; Theo James,Mankind discover the existence of the Vampire and Lycan species and they begin a war to annihilate the races When Selene meets with Michael in the harbor they are hit by a grenade and Selene passes out Twelve years later Selene awakes from a cryogenic sleep in the Antigen laboratory and meets the Vampire David She learns that she had been the subject of the scientist Dr Jacob Lane and the Vampire and Lycan species have been practically eradicated from Earth But Selene is still connected to Michael and has visions that she believes that belongs to Michaels sight However she has a surprise and finds that she has a powerful daughter named Eve that has been raised in the laboratory Now Selene and David have to protect Eve against the Lycans that intend to use her to inoculate their species against silver,English; Russian,USA; Canada,1 win,6.4/10,27%,39/100,39,6.4,movie,"$62,321,039",Screen Gems
2 Guns,2013,R,Fri Aug 02 2013 00:00:00 GMT-0400 (EDT),109 min,Action; Comedy; Crime,Baltasar Kormákur,Denzel Washington; Mark Wahlberg; Paula Patton; Edward James Olmos,Robert Trench an undercover DEA agent takes advantage of gunman Michael Stigmans idea to rob a bank to bust him and a mob boss However it proves too successful with much more money seized than anticipated with Trenchs forces not stopping the getaway Complicating things still more Stigman turns out to be a Naval Intelligence agent who shoots Trench and takes the money The interservice debacle suddenly finds Trench and Stigman in a bloody web of corrupt clandestine rivalries as they are hunted blackmailed and isolated for the money on both sides of the law Now the fugitives must work together to find a way out of this situation with no one to turn to but themselves,English; Spanish,USA,3 wins,6.7/10,64%,55/100,55,6.7,movie,"$73,500,000",Universal Pictures
W.E.,2011,R,Fri Jan 20 2012 00:00:00 GMT-0500 (EST),119 min,Drama; History; Romance,Madonna,Abbie Cornish; Andrea Riseborough; James D'Arcy; Oscar Isaac,In 1998 an auction of the estate of the Duke and Duchess of Windsor causes great excitement For one woman Wally Winthrop it has much more meaning Wally becomes obsessed by their historic love story As she learns more about the sacrifices involved Wally gains her own courage to find happiness,English; French; Russian,UK,Nominated for 1 Oscar Another 4 wins & 4 nominations,6.3/10,13%,37/100,37,6.3,movie,"$582,075",The Weinstein Company
West of Memphis,2012,R,Thu Nov 22 2012 00:00:00 GMT-0500 (EST),147 min,Documentary; Crime,Amy Berg,Michael Baden; Jason Baldwin; Holly Ballard; Jamie Clark Ballard,West of Memphis is an examination of a failure of justice in Arkansas The documentary tells the hitherto unknown story behind an extraordinary and desperate fight to bring the truth to light Told and made by those who lived it the filmmakers unprecedented access to the inner workings of the defense allows the film to show the investigation research and appeals process in a way that has never been seen before revealing shocking and disturbing new information about a case that still haunts the American South,English,New Zealand; USA,Nominated for 1 BAFTA Film Award Another 1 win & 9 nominations,7.9/10,96%,80/100,80,7.9,movie,"$309,864",Sony Pictures Classics
Won't Back Down,2012,PG,Fri Sep 28 2012 00:00:00 GMT-0400 (EDT),121 min,Drama,Daniel Barnz,Maggie Gyllenhaal; Viola Davis; Oscar Isaac; Holly Hunter,Two determined mothers with children who are failing in an inner city school in Pittsburgh join forces to take back the school and turn it into a place of learning But before they can change the school for the better they must first battle the parents the school board and the teachers union Because this is for their children they wont back down from this enormous challenge,English,USA,1 win & 3 nominations,6.4/10,33%,42/100,42,6.4,movie,"$5,308,553",20th Century Fox
42,2013,PG-13,Fri Apr 12 2013 00:00:00 GMT-0400 (EDT),128 min,Biography; Drama; Sport,Brian Helgeland,Chadwick Boseman; Harrison Ford; Nicole Beharie; Christopher Meloni,In 1946 Jackie Robinson is a Negro League baseball player who never takes racism lying down Branch Rickey is a Major League team executive with a bold idea To that end Rickey recruits Robinson to break the unspoken color line as the first modern African American Major League player As both anticipate this proves a major challenge for Robinson and his family as they endure unrelenting racist hostility on and off the field from player and fan alike As Jackie struggles against his nature to endure such abuse without complaint he finds allies and hope where he least expects it,English,USA,3 wins & 18 nominations,7.5/10,79%,62/100,62,7.5,movie,"$95,001,343",Warner Bros. Pictures
Wrath of the Titans,2012,PG-13,Fri Mar 30 2012 00:00:00 GMT-0400 (EDT),99 min,Action; Adventure; Fantasy,Jonathan Liebesman,Sam Worthington; Liam Neeson; Ralph Fiennes; Edgar Ramírez,A decade after his heroic defeat of the monstrous Kraken Perseus-the demigod son of Zeus-is attempting to live a quieter life as a village fisherman and the sole parent to his 10-year old son Helius Meanwhile a struggle for supremacy rages between the gods and the Titans Dangerously weakened by humanitys lack of devotion the gods are losing control of the imprisoned Titans and their ferocious leader Kronos father of the long-ruling brothers Zeus Hades and Poseidon The triumvirate had overthrown their powerful father long ago leaving him to rot in the gloomy abyss of Tartarus a dungeon that lies deep within the cavernous underworld Perseus cannot ignore his true calling when Hades along with Zeus godly son Ares (Edgar Ramírez) switch loyalty and make a deal with Kronos to capture Zeus The Titans strength grows stronger as Zeus remaining godly powers are siphoned and hell is unleashed on earth Enlisting the help of the warrior Queen Andromeda (Rosamund Pike) Poseidons demigod son Argenor (Toby Kebbell) and fallen god Hephaestus (Bill Nighy) Perseus bravely embarks on a treacherous quest into the underworld to rescue Zeus overthrow the Titans and save mankind,English,Spain; USA,2 wins & 2 nominations,5.8/10,26%,37/100,37,5.8,movie,"$83,640,426",Warner Bros.
20 Feet from Stardom,2013,PG-13,Fri Jul 26 2013 00:00:00 GMT-0400 (EDT),91 min,Documentary; Music,Morgan Neville,Lou Adler; Stephanie 'Stevvi' Alexander; Patti Austin; Chris Botti,The backup singer exists in a strange place in the pop music world they are always in the shadow of the feature artists even when they are in front of them in concert while they provide a vital foundation for the music Through interviews with veterans and concert footage the history of these predominately African-American singers is explored through the rock era Furthermore special focus is given to special stand outs who endeavored to make a living in the art burdened with a low profile and more personal career frustrations especially those who faced the very different challenge of singing in the spotlight themselves,English,USA,Won 1 Oscar Another 20 wins & 26 nominations,7.4/10,99%,83/100,83,7.4,movie,N/A,Radius-TWC
Zero Dark Thirty,2012,R,Fri Jan 11 2013 00:00:00 GMT-0500 (EST),157 min,Drama; Thriller,Kathryn Bigelow,Jason Clarke; Reda Kateb; Jessica Chastain; Kyle Chandler,Maya is a CIA operative whose first experience is in the interrogation of prisoners following the Al Qaeda attacks against the US on the 11th September 2001 She is a reluctant participant in extreme duress applied to the detainees but believes that the truth may only be obtained through such tactics For several years she is single-minded in her pursuit of leads to uncover the whereabouts of Al Qaedas leader Osama Bin Laden Finally in 2011 it appears that her work will pay off and a US Navy SEAL team is sent to kill or capture Bin Laden But only Maya is confident Bin Laden is where she says he is,English; Arabic,USA,Won 1 Oscar Another 87 wins & 171 nominations,7.4/10,91%,95/100,95,7.4,movie,"$95,720,716",Columbia Pictures
What to Expect When You're Expecting,2012,PG-13,Fri May 18 2012 00:00:00 GMT-0400 (EDT),110 min,Comedy; Drama; Romance,Kirk Jones,Cameron Diaz; Jennifer Lopez; Elizabeth Banks; Chace Crawford,Five couples intertwined lives are turned upside down by the challenges of impending parenthood Over the moon about starting a family TV fitness guru Jules and dance show star Evan find that their high-octane celebrity lives dont stand a chance against the surprise demands of pregnancy Baby-crazy author and advocate Wendy gets a taste of her own militant mommy advice when pregnancy hormones ravage her body while Wendys husband Gary struggles not to be outdone by his competitive alpha-Dad whos expecting twins with his much younger trophy wife Skyler Photographer Holly is prepared to travel the globe to adopt a child but her husband Alex isnt so sure and tries to quiet his panic by attending a dudes support group where new fathers get to tell it like it really is And rival food truck chefs Rosie and Marcos surprise hook-up results in an unexpected quandary: what to do when your first child comes before your first date?,English,USA,12 nominations,5.7/10,22%,41/100,41,5.7,movie,"$41,102,171",Lionsgate Films
12 Rounds 2: Reloaded,2013,R,Tue Jun 04 2013 00:00:00 GMT-0400 (EDT),95 min,Action; Adventure; Thriller,Roel Reiné,Randy Orton; Tom Stevens; Brian Markinson; Venus Terzo,WWE Wrestler Randy Orton portrays Nick Malloy an Emergency Medical Technician (EMT) who finds himself caught in a deadly 12-round game of cat and mouse with a vigilante tied to the paramedics past With little time to spare and his wifes life hanging in the balance the EMT must figure out why hes been chosen to be the pawn in this maniacs game before its too late,English,USA,N/A,5.4/10,N/A,N/A,N/A,5.4,movie,N/A,Twentieth Century Fox Home Entertainment
12 Years a Slave,2013,R,Fri Nov 08 2013 00:00:00 GMT-0500 (EST),134 min,Biography; Drama; History,Steve McQueen,Chiwetel Ejiofor; Dwight Henry; Dickie Gravois; Bryan Batt,Based on an incredible true story of one mans fight for survival and freedom In the pre-Civil War United States Solomon Northup a free black man from upstate New York is abducted and sold into slavery Facing cruelty personified by a malevolent slave owner as well as unexpected kindnesses Solomon struggles not only to stay alive but to retain his dignity In the twelfth year of his unforgettable odyssey Solomons chance meeting with a Canadian abolitionist will forever alter his life,English,USA; UK,Won 3 Oscars Another 235 wins & 326 nominations,8.1/10,96%,96/100,96,8.1,movie,"$50,628,650",Fox Searchlight
The ABCs of Death,2012,NOT RATED,Fri Apr 26 2013 00:00:00 GMT-0400 (EDT),129 min,Comedy; Horror,Kaare Andrews; Angela Bettis; Hélène Cattet; Ernesto Díaz Espinoza; Jason Eisener; Bruno Forzani; Adrián García Bogliano; Xavier Gens; Jorge Michel Grau; Lee Hardcastle; Noboru Iguchi; Thomas Cappelen Malling; Anders Morgenthaler; Yoshihiro Nishimura; Banjong Pisanthanakun; Simon Rumley; Marcel Sarmiento; Jon Schnepp; Srdjan Spasojevic; Timo Tjahjanto; Andrew Traucki; Nacho Vigalondo; Jake West; Ti West; Ben Wheatley; Adam Wingard; Yudai Yamaguchi,Eva Llorach; Miquel Insua; Alejandra Urdiaín; Harold Torres,The ABCs OF DEATH is an ambitious anthology film featuring segments directed by over two dozen of the worlds leading talents in contemporary genre film Inspired by childrens educational ABC books the motion picture is comprised of 26 individual chapters each helmed by a different director assigned a letter of the alphabet The directors were then given free reign in choosing a word to create a story involving death Provocative shocking funny and ultimately confrontational THE ABCs OF DEATH is the definitive snapshot of the diversity of modern horror Drafthouse Films Magnet Pictures and Timpson Films are proud to present this alphabetical arsenal of destruction orchestrated by what Fangoria calls a stunning roll call of some of the most exciting names in horror across the world,English; Spanish; Japanese; German; French; Korean,USA; New Zealand,1 win & 1 nomination,4.7/10,35%,43/100,43,4.7,movie,"$17,160",Magnolia Pictures
3 Geezers!,2013,NOT RATED,Wed May 22 2013 00:00:00 GMT-0400 (EDT),81 min,Comedy,Michelle Schumacher,J.K. Simmons; Tim Allen; Scott Caan; Basil Hoffman,Follow actor J Kimball as he researches what its like to be old for a role in an upcoming movie When he meets the residents at The Coconuts convalescent home he quickly discovers that his perceptions of the elderly may be off from todays reality After being on the wrong end of some pranks J enlists the help of his Hollywood friends to turn the tides Mayhem ensues,English,USA,N/A,3.4/10,N/A,9/100,9,3.4,movie,N/A,Gravitas Adventuras
9 Full Moons,2013,NOT RATED,Fri Nov 14 2014 00:00:00 GMT-0500 (EST),103 min,Drama; Romance,Tomer Almagor,Amy Seimetz; Bret Roberts; Donal Logue; Foster Timms,Frankie is an emotional train wreck careening around the East Los Angeles music scene drinking and getting lost with strangers Lev is a taciturn and tormented soul He drives a limo and aspires to work in the music business Meeting in an after hour seedy night club they embark on a roller-coaster relationship exploring what love is like for two quiet people who may be damaged beyond repair,English,USA,1 win & 6 nominations,5.2/10,N/A,N/A,N/A,5.2,movie,N/A,Urban Tales Productions
Ain't Them Bodies Saints,2013,R,Fri Aug 16 2013 00:00:00 GMT-0400 (EDT),96 min,Crime; Drama; Romance,David Lowery,Rooney Mara; Casey Affleck; Ben Foster; Keith Carradine,The tale of an outlaw who escapes from prison and sets out across the Texas hills to reunite with his wife and the daughter he has never met,English,USA,4 wins & 12 nominations,6.4/10,79%,74/100,74,6.4,movie,"$200,000",IFC Films
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013,R,Tue Jan 15 2013 00:00:00 GMT-0500 (EST),80 min,Comedy,Craig Moss,Ashley Martin; Austin Michael Scott; Heidi Kramer; Pickles Moss,After a stint in a psychiatric hospital a young woman returns to the house where her father killed the entire cast of The Artist during his exorcism,English,USA,N/A,2.6/10,N/A,N/A,N/A,2.6,movie,N/A,Twentieth Century Fox Home Entertainment
Angels Sing,2013,PG,Sun Mar 10 2013 00:00:00 GMT-0500 (EST),87 min,Comedy; Drama; Family,Tim McCanlies,Harry Connick Jr.; Connie Britton; Chandler Canterbury; Fionnula Flanagan,As a child Michael Walker wished every day could be Christmas That is until a tragic accident crushed his holiday spirit Thirty years later Michael still cant muster any joy for the holidays despite encouragement from his playful wife and well-intentioned parents But when his young son faces a tragedy Michael needs to make amends with his past A mysterious man named Nick gives Michael a gift and instills in him the courage to find the joy that he lost,English,USA,N/A,5.9/10,23%,39/100,39,5.9,movie,N/A,Lionsgate
Admission,2013,PG-13,Fri Mar 22 2013 00:00:00 GMT-0400 (EDT),107 min,Comedy; Drama; Romance,Paul Weitz,Tina Fey; Ann Harada; Ben Levin; Dan Levy,Straitlaced Princeton University admissions officer Portia Nathan (Tina Fey) is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate the freewheeling John Pressman (Paul Rudd) Pressman has surmised that Jeremiah (Nat Wolff) his gifted yet very unconventional student might well be the son that Portia secretly gave up for adoption many years ago Soon Portia finds herself bending the rules for Jeremiah putting at risk the life she thought she always wanted -- but in the process finding her way to a surprising and exhilarating life and romance she never dreamed of having,English,USA,N/A,5.7/10,38%,48/100,48,5.7,movie,"$18,000,000",Focus Features
AE: Apocalypse Earth,2013,NOT RATED,Tue May 28 2013 00:00:00 GMT-0400 (EDT),87 min,Action; Adventure; Sci-Fi,Thunder Levin,Adrian Paul; Richard Grieco; Bali Rodriguez; Gray Hawks,When the Earth is attacked by alien forces a mass evacuation leads to a small group of survivors crash landing on a planet inhabited by cloaked figures To get off the doomed planet a green-skinned humanoid girls reckons a downed spaceship will do the trick,English,USA,N/A,3.2/10,N/A,N/A,N/A,3.2,movie,N/A,Asylum Entertainment
After Earth,2013,PG-13,Fri May 31 2013 00:00:00 GMT-0400 (EDT),100 min,Action; Adventure; Sci-Fi,M. Night Shyamalan,Jaden Smith; Will Smith; Sophie Okonedo; Zoë Kravitz,One thousand years after cataclysmic events forced humanitys escape from Earth Nova Prime has become mankinds new home Legendary General Cypher Raige returns from an extended tour of duty to his estranged family ready to be a father to his 13-year-old son Kitai When an asteroid storm damages Cypher and Kitais craft they crash-land on a now unfamiliar and dangerous Earth As his father lies dying in the cockpit Kitai must trek across the hostile terrain to recover their rescue beacon His whole life Kitai has wanted nothing more than to be a soldier like his father Today he gets his chance,English,USA,3 wins & 8 nominations,4.9/10,11%,33/100,33,4.9,movie,"$60,522,097",Sony Pictures
We Have a Pope,2011,NOT RATED,Fri Apr 15 2011 00:00:00 GMT-0400 (EDT),102 min,Comedy; Drama,Nanni Moretti,Michel Piccoli; Jerzy Stuhr; Renato Scarpa; Franco Graziosi,At the Vatican following the demise of the Pope the conclave to elect his successor settles on Cardinal Melville But the faithful gathered in St Peters Square wait in vain for the new Pope to step out on the balcony What is going on? Behind the thick walls of the Vatican panic has set in After uttering a terrible howl of fear the Cardinal refuses the office The officials do everything to try to reason with Melville including a psychoanalyst appointed by the Vatican Do we really have a Pope?,Italian; German; Latin; English; Spanish; Polish; French,Italy; France,16 wins & 18 nominations,6.7/10,64%,64/100,64,6.7,movie,"$480,926",IFC Films
August: Osage County,2013,R,Fri Jan 10 2014 00:00:00 GMT-0500 (EST),121 min,Drama,John Wells,Meryl Streep; Julia Roberts; Chris Cooper; Ewan McGregor,Violet Weston (Meryl Streep) has cancer and a propensity for pills and alcohol Shes a difficult woman to deal with and her husband has finally had enough Violets family gathers including middle daughter Ivy youngest daughter Karen (with her new fiancé) eldest daughter Barbara (with her separated husband and teenage daughter) and her sister Mattie Fae (with her husband and son in tow) A family tragedy causes tensions to run high and secrets to come out The Weston women will be forced to examine themselves and their lives whether they want to or not Welcome to Osage County Oklahoma in the sweltering heat of August,English,USA,Nominated for 2 Oscars Another 15 wins & 62 nominations,7.2/10,65%,58/100,58,7.2,movie,"$29,202,643",The Weinstein Company
Beautiful Creatures,2013,PG-13,Thu Feb 14 2013 00:00:00 GMT-0500 (EST),124 min,Drama; Fantasy; Romance,Richard LaGravenese,Alden Ehrenreich; Alice Englert; Jeremy Irons; Viola Davis,Teenager Ethan Wate is obsessed with his urge to finish high school and go on to college in order to leave the small town of Gatlin South Carolina behind until a mysterious girl begins to inhabit his dreams When he meets Lena Duchannes a newcomer who has just enrolled in his school Ethan knows she is the girl in his dreams Lena is rejected by the rest of her classmates for being the granddaughter of Macon Ravenwood whom the towns superstitious residents consider to be a devil-worshiper But Ethan gives her a ride anyway and they fall in love Lena reveals to her new boyfriend that she is a witch and that on her sixteenth birthday she will be claimed by either the forces of light or of darkness She will remain in the light but only if she does not remain in love with Ethan To make matters worse her evil mother Sarafine is casting spells to push Lena to the dark side Ethan joins her in a search to find a magic spell to save their doomed love Will the lovers succeed?,English,USA,9 nominations,6.2/10,46%,52/100,52,6.2,movie,"$19,445,217",Warner Bros. Pictures
Anchorman 2: The Legend Continues,2013,PG-13,Wed Dec 18 2013 00:00:00 GMT-0500 (EST),119 min,Comedy,Adam McKay,Will Ferrell; Steve Carell; Paul Rudd; David Koechner,Having left San Diego for New York City Ron Burgundy is living the high life with his wife Veronica Corningstone and son Walter Burgundy However when the boss decides to promote Veronica to full time lead anchor and fire Ron everything changes Now heading back to San Diego Ron is washed up and working part time at Sea World His shot at redemption though comes in the form of a man named Freddie Schapp whos an executive producer at the Global News Network the worlds first 24 hour round the clock news channel He hires Ron who proceeds to reunite the news team of Champ Brick and Brian and head back to New York City While there Ron and his news team are given the graveyard shift and a challenge Ron comes up with a radical new idea to transform the news and that puts him at the top of the game once again But how long will Rons newfound fame last? And will Brick finally find true love?,English,USA,1 win & 23 nominations,6.3/10,75%,61/100,61,6.3,movie,"$76,820,043",Paramount Pictures
At Any Price,2012,R,Wed May 01 2013 00:00:00 GMT-0400 (EDT),105 min,Drama; Sport; Thriller,Ramin Bahrani,Dennis Quaid; Kim Dickens; Aaron B. Oduber; Jacob R. Oduber,In the competitive world of modern agriculture ambitious Henry Whipple wants his rebellious son Dean to help expand his familys farming empire However Dean has his sights set on becoming a professional race car driver When a high-stakes investigation into their business is exposed father and son are pushed into an unexpected crisis that threatens the familys entire livelihood,English,USA,1 nomination,5.6/10,52%,61/100,61,5.6,movie,"$300,000",Sony Pictures Classics
The Baytown Outlaws,2012,R,Sat Jun 15 2013 00:00:00 GMT-0400 (EDT),98 min,Action; Comedy; Crime,Barry Battles,Clayne Crawford; Travis Fimmel; Daniel Cudmore; Thomas Brodie-Sangster,After her ex-husband Carlos shoots Celeste three times in the gut its time to play dirty In the fight for her godson Rob she hires three outlawed and redneck brothers to bring him back to her But nothing can be that simple in the South What begins as a small rescue mission rises to a southern battle royal This odd team must shoot their way through gorgeous female assassins Native American hunters Federal agents and a whole lot of metal coming after them while protecting Celestes innocent child,English,USA,1 nomination,6.4/10,22%,33/100,33,6.4,movie,N/A,Phase 4 Films
Ass Backwards,2013,UNRATED,Mon Jan 21 2013 00:00:00 GMT-0500 (EST),85 min,Adventure; Comedy,Chris Nelson,June Diane Raphael; Casey Wilson; Jon Cryer; Vincent D'Onofrio,Ass Backwards is an irreverent female buddy comedy about two childhood best friends who are pushing the age of 30 and not quite where they thought theyd be in life When they run into their former beauty pageant nemesis they decide to go on a road trip back home to recapture the pageant crown which eluded them as children On the road they face some hard truths about themselves and each other as they encounter spring breakers strip clubs a womens militant group and their favorite reality star This heightened comedic awakening leads us into an unforgettable third act finale that is the girls homecoming and final reckoning with their past present and future,English,USA,N/A,4.2/10,28%,37/100,37,4.2,movie,N/A,Gravitas Ventures
A.C.O.D.,2013,R,Wed Jan 23 2013 00:00:00 GMT-0500 (EST),88 min,Comedy,Stuart Zicherman,Adam Scott; Richard Jenkins; Catherine O'Hara; Amy Poehler,ACOD follows a seemingly well-adjusted Adult Child of Divorce (Adam Scott) who is forced to revisit the chaos of his parents (Catherine OHara and Richard Jenkins) bitter divorce all over again after his younger brother (Clark Duke) decides to get married,English,USA,1 nomination,5.7/10,50%,50/100,50,5.7,movie,"$123,368",The Film Arcade
Assault on Wall Street,2013,R,Tue Jul 30 2013 00:00:00 GMT-0400 (EDT),99 min,Action; Crime; Thriller,Uwe Boll,Dominic Purcell; Erin Karpluk; Edward Furlong; John Heard,Jim is an average New Yorker living a peaceful life with a well paying job and a loving family Suddenly everything changes when the economy crashes causing Jim to lose everything Filled with anger and rage Jim snaps and goes to extreme lengths to seek revenge for the life taken from him,English,Canada; USA,1 win,6.1/10,25%,24/100,24,6.1,movie,N/A,Phase 4 Films
Arthur Newman,2012,R,Thu Jun 13 2013 00:00:00 GMT-0400 (EDT),101 min,Drama,Dante Ariola,Colin Firth; Emily Blunt; Lucas Hedges; Anne Heche,Wallace Avery hates his job His ex-wife and son hate him and hes blown his one shot at living his dream Not wanting to face all this he stages his own death and buys himself a new identity as Arthur Newman However Arthurs road trip towards anew life is interrupted by the arrival of the beautiful but fragile Mike who is also trying to leave her past behind Drawn to one another these two damaged souls begin to connect as they break into empty homes and take on the identities of the absent owners: elderly newlyweds a high-roller and his Russian lady among others Through this process Arthur and Mike discover that what they love most about each other are the identities they left at home and their real journey that of healing begins,English,USA,1 nomination,5.7/10,20%,42/100,42,5.7,movie,"$134,273",Cinedigm
Alone Yet Not Alone,2013,PG-13,Fri Sep 27 2013 00:00:00 GMT-0400 (EDT),103 min,Action; Drama; History,Ray Bengston; George D. Escobar(co-director),Kelly Greyson; Natalie Racoosin; Clay Walker; Jenn Gotzon Chandler,The year is 1755 and the English colonies are being ravaged by the atrocities of war Opposing European powers have clashed over the fertile Ohio valley and entire families are devastated by the ensuing violence Hostile native tribes are raiding the vulnerable frontier farms and two young sisters are among those taken captive While hoping for rescue and return to their home they are comforted with the words of a family hymn: Alone Yet Not Alone But when the sisters are suddenly and cruelly separated their tender faith is brought to a stretching point Forcibly immersed into a primitive foreign culture the older sister Barbara clings to her beliefs Yet now a deeper fate threatens and she makes a difficult decision: to risk her life in an attempt to escape Pursued by a relentless and cunning warrior Barbara and her three fellow captives must cross over two hundred miles of raw wilderness in their effort to reach friendly territory Will their courage and trust in God be enough to see them through? And if they do succeed will they find their family? Will Barbara ever see her sister again? Alone Yet Not Alone depicts the riveting true story of a family at a critical juncture in our nations history,English,USA,N/A,4.3/10,N/A,N/A,N/A,4.3,movie,"$668,172",Hammond Entertainment
Before Midnight,2013,R,Fri Jun 14 2013 00:00:00 GMT-0400 (EDT),109 min,Drama; Romance,Richard Linklater,Ethan Hawke; Julie Delpy; Seamus Davey-Fitzpatrick; Jennifer Prior,It has been nine years since we last met Jesse and Celine the French-American couple who once met on a train in Vienna They now live in Paris with twin daughters but have spent a summer in Greece on the invitation of an author colleague of Jesses When the vacation is over and Jesse must send his teenage son off to the States he begins to question his life decisions and his relationship with Celine is at risk,English; Greek; French,USA; Greece,Nominated for 1 Oscar Another 21 wins & 59 nominations,7.9/10,98%,94/100,94,7.9,movie,"$8,114,507",Drafthouse Recommends
